Velocity,Pressure,Degree,Sabot
6.3717,10.1320,37.26,1.00
1.9529,27.0631,46.17,1.00
6.5368,10.1320,35.05,1.00
6.2955,9.9987,38.17,1.00
6.2527,9.9987,35.30,1.00
6.4841,13.3316,34.44,0.00
2.5140,26.6631,49.44,1.00
4.0545,13.3316,34.37,1.00
1.9711,26.6631,43.42,0.00
2.0338,26.6631,49.94,1.00
2.6258,26.6631,45.07,1.00
3.2338,26.6631,48.34,1.00
3.4965,14.6647,38.31,1.00
3.1069,26.6631,44.87,1.00
3.8073,14.6647,40.90,1.00
2.2642,39.9947,54.44,1.00
5.9331,10.6652,38.90,1.00
3.8965,13.3316,41.40,1.00
2.4349,39.8614,54.29,1.00
2.3456,26.5298,42.21,0.00
2.4956,28.6628,49.50,1.00
5.3071,13.3316,35.48,1.00
4.4094,13.3316,39.11,1.00
1.9723,26.2632,48.76,1.00
2.6289,26.6631,49.76,1.00
6.3691,11.3318,27.78,0.00
2.4177,26.5298,51.52,1.00
3.1064,13.5982,34.77,1.00
3.0873,13.3316,35.95,1.00
5.5270,11.9984,34.41,0.00
6.0697,11.9984,28.77,0.00
2.6176,19.8640,35.73,0.00
2.1159,26.5298,50.47,1.00
2.8972,26.6631,46.40,1.00
2.7488,26.6631,50.01,1.00
5.0632,11.3318,40.02,1.00
3.0503,16.6644,36.37,0.00
4.6254,16.6644,36.73,0.00
3.6586,16.6644,33.19,0.00
6.2191,16.6644,34.35,0.00
1.7852,33.3289,56.68,1.00
4.0883,15.3313,33.22,0.00
2.7571,16.6644,33.94,0.00
4.7064,12.6650,30.11,0.00
3.1232,14.6647,32.73,0.00
2.8353,13.3316,29.44,0.00
4.9019,11.8651,29.56,0.00
1.5577,36.6618,56.94,1.00
1.9965,29.9960,49.49,1.00
2.5079,19.9973,28.97,1.00
2.9967,13.3316,29.73,0.00
5.4851,11.0652,29.35,0.00
4.8663,11.9984,29.30,0.00
5.8994,12.6650,30.75,0.00
4.8531,11.9984,29.06,0.00
