Time,T1,T2,T3,T4,T5,T6,T7
0,36.7,30.7,27.2,25.0,23.7,23.1,22.8
2,36.7,30.8,27.2,25.0,23.7,23.1,22.8
4,36.7,30.8,27.2,25.0,23.7,23.1,22.8
6,36.8,30.8,27.2,25.1,23.8,23.1,22.8
8,36.8,30.9,27.2,25.1,23.8,23.1,22.8
10,36.8,30.9,27.3,25.1,23.8,23.1,22.9
12,36.8,30.9,27.3,25.1,23.8,23.1,22.9
14,36.9,30.9,27.3,25.1,23.8,23.2,22.9
16,36.9,31.0,27.4,25.1,23.8,23.2,22.9
18,36.9,31.0,27.4,25.2,23.8,23.2,22.9
20,37.0,31.0,27.4,25.2,23.8,23.2,22.9
22,37.0,31.0,27.4,25.2,23.8,23.2,22.9
24,37.0,31.0,27.4,25.2,23.8,23.2,22.9
26,37.1,31.1,27.4,25.2,23.8,23.2,22.9
28,37.1,31.1,27.4,25.2,23.9,23.2,22.9
30,37.2,31.1,27.4,25.2,23.9,23.2,23.0
32,37.2,31.2,27.5,25.2,23.9,23.2,23.0
34,37.2,31.2,27.5,25.3,23.9,23.3,23.0
36,37.3,31.2,27.5,25.3,23.9,23.3,23.0
38,37.3,31.2,27.6,25.3,23.9,23.3,23.0
40,37.3,31.2,27.6,25.3,23.9,23.3,23.0
42,37.3,31.2,27.6,25.3,23.9,23.3,23.0
44,37.4,31.2,27.6,25.3,23.9,23.3,23.0
46,37.4,31.3,27.6,25.3,23.9,23.3,23.0
48,37.4,31.3,27.6,25.3,23.9,23.3,23.0
50,37.4,31.3,27.6,25.4,24.0,23.3,23.0
52,37.4,31.3,27.6,25.4,23.9,23.3,23.0
54,37.4,31.4,27.7,25.4,24.0,23.3,23.0
56,37.5,31.4,27.7,25.4,24.0,23.3,23.1
58,37.6,31.5,27.7,25.4,24.0,23.4,23.1
60,37.6,31.5,27.7,25.4,24.0,23.4,23.1
62,37.7,31.5,27.8,25.4,24.0,23.4,23.1
64,37.7,31.6,27.8,25.4,24.0,23.4,23.1
66,37.7,31.6,27.8,25.5,24.1,23.4,23.1
68,37.8,31.6,27.9,25.5,24.1,23.4,23.1
70,37.8,31.6,27.9,25.5,24.1,23.4,23.1
72,37.8,31.7,27.9,25.6,24.1,23.4,23.1
74,37.9,31.7,27.9,25.6,24.1,23.4,23.1
76,37.9,31.7,28.0,25.6,24.1,23.4,23.1
78,37.9,31.7,28.0,25.6,24.1,23.4,23.1
80,37.9,31.7,28.0,25.6,24.1,23.4,23.2
82,38.0,31.8,28.0,25.6,24.2,23.5,23.2
84,38.0,31.8,28.0,25.6,24.2,23.5,23.2
86,38.1,31.8,28.0,25.6,24.2,23.5,23.2
88,38.1,31.8,28.0,25.6,24.2,23.5,23.2
90,38.1,31.8,28.1,25.6,24.2,23.5,23.2
92,38.2,31.9,28.1,25.7,24.2,23.5,23.2
94,38.2,31.9,28.1,25.7,24.2,23.5,23.2
96,38.2,31.9,28.1,25.7,24.2,23.5,23.2
98,38.2,31.9,28.1,25.7,24.2,23.5,23.2
100,38.3,31.9,28.1,25.7,24.2,23.5,23.2
102,38.3,31.9,28.1,25.7,24.2,23.5,23.3
104,38.3,32.0,28.1,25.7,24.3,23.6,23.3
106,38.3,32.0,28.2,25.7,24.3,23.6,23.3
108,38.4,32.0,28.2,25.8,24.3,23.6,23.3
110,38.4,32.1,28.2,25.8,24.3,23.6,23.3
